model,kind,severity,accuracy,stability,n_images,seed
M0,geo,0.0,0.5121457489878543,1.0,988,0
M0,geo,0.2,0.5030364372469636,0.9579895807181292,988,0
M0,geo,0.4,0.4888663967611336,0.9409847491183262,988,0
M0,geo,0.6,0.4625506072874494,0.9285002121558557,988,0
M0,geo,0.8,0.4726720647773279,0.9179498869397862,988,0
M0,geo,1.0,0.46356275303643724,0.9067841483513835,988,0
M0,photo,0.0,0.5121457489878543,1.0,988,0
M0,photo,0.2,0.507085020242915,0.998307502221482,988,0
M0,photo,0.4,0.5040485829959515,0.9939661836817197,988,0
M0,photo,0.6,0.5010121457489879,0.9872240383132749,988,0
M0,photo,0.8,0.4939271255060729,0.9781610569973224,988,0
M0,photo,1.0,0.4868421052631579,0.9664721566173229,988,0
M0,blur,0.0,0.5121457489878543,1.0,988,0
M0,blur,0.2,0.4868421052631579,0.976983744123204,988,0
M0,blur,0.4,0.43218623481781376,0.9028909679366509,988,0
M0,blur,0.6,0.3917004048582996,0.8402354379414547,988,0
M0,blur,0.8,0.35020242914979755,0.7813086567620035,988,0
M0,blur,1.0,0.29048582995951416,0.7391336012465751,988,0
M0,noise,0.0,0.5121457489878543,1.0,988,0
M0,noise,0.2,0.5030364372469636,0.957888890857156,988,0
M0,noise,0.4,0.5,0.9345778299246722,988,0
M0,noise,0.6,0.47368421052631576,0.9136489682834641,988,0
M0,noise,0.8,0.4605263157894737,0.8928333351969236,988,0
M0,noise,1.0,0.451417004048583,0.8728428736389408,988,0
M0,moire,0.0,0.5121457489878543,1.0,988,0
M0,moire,0.2,0.4797570850202429,0.9782344204211525,988,0
M0,moire,0.4,0.4473684210526316,0.9526959701105651,988,0
M0,moire,0.6,0.4230769230769231,0.9270978417956395,988,0
M0,moire,0.8,0.40384615384615385,0.9036106638580199,988,0
M0,moire,1.0,0.38360323886639675,0.8819647279345555,988,0
M0,combined,0.0,0.5121457489878543,1.0,988,0
M0,combined,0.2,0.44635627530364375,0.9119686520534006,988,0
M0,combined,0.4,0.3785425101214575,0.8364170437399675,988,0
M0,combined,0.6,0.2925101214574899,0.7711432530329778,988,0
M0,combined,0.8,0.22064777327935223,0.7150665970466398,988,0
M0,combined,1.0,0.18016194331983806,0.6627197130488963,988,0
M1,geo,0.0,0.861336032388664,1.0,988,0
M1,geo,0.2,0.8532388663967612,0.9579895807181292,988,0
M1,geo,0.4,0.8512145748987854,0.9409847491183262,988,0
M1,geo,0.6,0.8340080971659919,0.9285002121558557,988,0
M1,geo,0.8,0.8299595141700404,0.9179498869397862,988,0
M1,geo,1.0,0.8006072874493927,0.9067841483513835,988,0
M1,photo,0.0,0.861336032388664,1.0,988,0
M1,photo,0.2,0.8653846153846154,0.998307502221482,988,0
M1,photo,0.4,0.8633603238866396,0.9939661836817197,988,0
M1,photo,0.6,0.8562753036437247,0.9872240383132749,988,0
M1,photo,0.8,0.8512145748987854,0.9781610569973224,988,0
M1,photo,1.0,0.840080971659919,0.9664721566173229,988,0
M1,blur,0.0,0.861336032388664,1.0,988,0
M1,blur,0.2,0.8410931174089069,0.976983744123204,988,0
M1,blur,0.4,0.7975708502024291,0.9028909679366509,988,0
M1,blur,0.6,0.7246963562753036,0.8402354379414547,988,0
M1,blur,0.8,0.6437246963562753,0.7813086567620035,988,0
M1,blur,1.0,0.5637651821862348,0.7391336012465751,988,0
M1,noise,0.0,0.861336032388664,1.0,988,0
M1,noise,0.2,0.8532388663967612,0.958069438393782,988,0
M1,noise,0.4,0.832995951417004,0.9341215701238347,988,0
M1,noise,0.6,0.8218623481781376,0.9134811138817174,988,0
M1,noise,0.8,0.8006072874493927,0.8928610033351883,988,0
M1,noise,1.0,0.7834008097165992,0.871694400725577,988,0
M1,moire,0.0,0.861336032388664,1.0,988,0
M1,moire,0.2,0.8410931174089069,0.9782344204211525,988,0
M1,moire,0.4,0.7995951417004049,0.9526959701105651,988,0
M1,moire,0.6,0.7672064777327935,0.9270978417956395,988,0
M1,moire,0.8,0.7398785425101214,0.9036106638580199,988,0
M1,moire,1.0,0.7155870445344129,0.8819647279345555,988,0
M1,combined,0.0,0.861336032388664,1.0,988,0
M1,combined,0.2,0.805668016194332,0.9120279883566172,988,0
M1,combined,0.4,0.6842105263157895,0.8362700833000152,988,0
M1,combined,0.6,0.5465587044534413,0.7713827816580954,988,0
M1,combined,0.8,0.4402834008097166,0.7143341249782547,988,0
M1,combined,1.0,0.34615384615384615,0.6631452023741687,988,0
M2,geo,0.0,0.7449392712550608,1.0,988,0
M2,geo,0.2,0.742914979757085,0.9794892453954287,988,0
M2,geo,0.4,0.7307692307692307,0.9686503796442317,988,0
M2,geo,0.6,0.728744939271255,0.9603207410588438,988,0
M2,geo,0.8,0.728744939271255,0.9527329607048498,988,0
M2,geo,1.0,0.7165991902834008,0.9450301988887401,988,0
M2,photo,0.0,0.7449392712550608,1.0,988,0
M2,photo,0.2,0.7469635627530364,0.9992554004375751,988,0
M2,photo,0.4,0.742914979757085,0.997237155311986,988,0
M2,photo,0.6,0.7439271255060729,0.9941176634568435,988,0
M2,photo,0.8,0.7388663967611336,0.9895905444496557,988,0
M2,photo,1.0,0.7257085020242915,0.9831458412201298,988,0
M2,blur,0.0,0.7449392712550608,1.0,988,0
M2,blur,0.2,0.7489878542510121,0.9932058542846185,988,0
M2,blur,0.4,0.7095141700404858,0.9649544573023252,988,0
M2,blur,0.6,0.6406882591093117,0.9274774138261432,988,0
M2,blur,0.8,0.5860323886639676,0.8874415598417583,988,0
M2,blur,1.0,0.5313765182186235,0.8502619758791287,988,0
M2,noise,0.0,0.7449392712550608,1.0,988,0
M2,noise,0.2,0.7388663967611336,0.9874988702627329,988,0
M2,noise,0.4,0.7459514170040485,0.9790343755652547,988,0
M2,noise,0.6,0.757085020242915,0.9728096699425084,988,0
M2,noise,0.8,0.75,0.9651206669054533,988,0
M2,noise,1.0,0.7439271255060729,0.9581303055952435,988,0
M2,moire,0.0,0.7449392712550608,1.0,988,0
M2,moire,0.2,0.7469635627530364,0.9877790169194642,988,0
M2,moire,0.4,0.7398785425101214,0.9729550299856827,988,0
M2,moire,0.6,0.728744939271255,0.9589693362896259,988,0
M2,moire,0.8,0.7034412955465587,0.946780492419656,988,0
M2,moire,1.0,0.6811740890688259,0.9350090200601802,988,0
M2,combined,0.0,0.7449392712550608,1.0,988,0
M2,combined,0.2,0.7419028340080972,0.9614592525157851,988,0
M2,combined,0.4,0.6831983805668016,0.9183772951967804,988,0
M2,combined,0.6,0.5789473684210527,0.8648169552266356,988,0
M2,combined,0.8,0.4645748987854251,0.8050612843471018,988,0
M2,combined,1.0,0.3643724696356275,0.7451212435116169,988,0
M3,geo,0.0,0.9048582995951417,1.0,988,0
